k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
0;0,999998093;1,90735E-06;1;5,33E-15;0,999996901;3,09944E-06
;1,999996662;3,33786E-06;2;7,55E-15;1,999995351;4,64916E-06
;2,999997616;2,38419E-06;3;8,88E-15;2,999995947;4,05312E-06
;3,999997377;2,6226E-06;4;1,11E-14;3,999995708;4,29153E-06
;4,999997139;2,86102E-06;5;7,11E-15;4,999995232;4,76837E-06
;5,999998093;1,90735E-06;6;1,155E-14;5,999995708;4,29153E-06
;6,999998093;1,90735E-06;7;1,155E-14;6,999996185;3,8147E-06
;7,999997139;2,86102E-06;8;1,155E-14;7,999994755;5,24521E-06
;8,999997139;2,86102E-06;9;1,243E-14;8,999995232;4,76837E-06
;9,999997139;2,86102E-06;10;1,243E-14;9,999995232;4,76837E-06
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
1;1,000003099;-3,09944E-06;1;1,776E-14;1,000000954;-9,53674E-07
;2,000003338;-3,33786E-06;2;2,087E-14;2,000001192;-1,19209E-06
;3,000003815;-3,8147E-06;3;2,043E-14;3,000001431;-1,43051E-06
;4,000003815;-3,8147E-06;4;2,176E-14;4,000001431;-1,43051E-06
;5,000003338;-3,33786E-06;5;2,132E-14;5,000000954;-9,53674E-07
;6,000004292;-4,29153E-06;6;2,309E-14;6,000001431;-1,43051E-06
;7,000003338;-3,33786E-06;7;2,398E-14;7,000000954;-9,53674E-07
;8,000004768;-4,76837E-06;8;2,398E-14;8,000001907;-1,90735E-06
;9,000004768;-4,76837E-06;9;2,309E-14;9,000001907;-1,90735E-06
;10,00000477;-4,76837E-06;10;2,309E-14;10,00000191;-1,90735E-06
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
2;0,999998331;1,66893E-06;1;-4,44E-15;0,999998808;1,19209E-06
;1,999998093;1,90735E-06;2;-4,88E-15;1,999998212;1,78814E-06
;2,999998569;1,43051E-06;3;-4,88E-15;2,999998808;1,19209E-06
;3,999998093;1,90735E-06;4;-5,33E-15;3,999998569;1,43051E-06
;4,999998093;1,90735E-06;5;-5,33E-15;4,999998569;1,43051E-06
;5,999998569;1,43051E-06;6;-3,55E-15;5,999999046;9,53674E-07
;6,999998093;1,90735E-06;7;-2,66E-15;6,999998569;1,43051E-06
;7,999998569;1,43051E-06;8;-3,55E-15;7,999998569;1,43051E-06
;8,999999046;9,53674E-07;9;-3,55E-15;8,999999046;9,53674E-07
;9,999999046;9,53674E-07;10;-1,78E-15;9,999999046;9,53674E-07
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
3;0,999992132;7,86781E-06;1;-1,199E-14;0,999989867;1,01328E-05
;1,999990463;9,53674E-06;2;-1,377E-14;1,999987364;1,26362E-05
;2,999990225;9,77516E-06;3;-1,421E-14;2,999987841;1,21593E-05
;3,99998951;1,04904E-05;4;-1,421E-14;3,999986887;1,3113E-05
;4,999990463;9,53674E-06;5;-1,421E-14;4,999988079;1,19209E-05
;5,999989033;1,09673E-05;6;-1,421E-14;5,999987125;1,28746E-05
;6,999988556;1,14441E-05;7;-1,51E-14;6,999986649;1,33514E-05
;7,999989033;1,09673E-05;8;-1,421E-14;7,999986172;1,38283E-05
;8,999988556;1,14441E-05;9;-1,421E-14;8,999986649;1,33514E-05
;9,999988556;1,14441E-05;10;-1,421E-14;9,999986649;1,33514E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
4;1,000011683;-1,16825E-05;1;8,9E-16;1,000005603;-5,60284E-06
;2,000013828;-1,38283E-05;2;-4,4E-16;2,000006199;-6,19888E-06
;3,000014544;-1,45435E-05;3;0;3,000006914;-6,91414E-06
;4,000015736;-1,57356E-05;4;0;4,000007629;-7,62939E-06
;5,000013351;-1,33514E-05;5;0;5,000006199;-6,19888E-06
;6,000017166;-1,71661E-05;6;8,9E-16;6,000008583;-8,58307E-06
;7,000016212;-1,62125E-05;7;0;7,000008583;-8,58307E-06
;8,000017166;-1,71661E-05;8;8,9E-16;8,000008583;-8,58307E-06
;9,00001812;-1,81198E-05;9;0;9,000009537;-9,53674E-06
;10,00001717;-1,71661E-05;10;0;10,00000954;-9,53674E-06
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
5;0,999999046;9,53674E-07;1;1,066E-14;1,000012636;-1,26362E-05
;1,999998569;1,43051E-06;2;1,199E-14;2,000015497;-1,54972E-05
;2,999998808;1,19209E-06;3;1,377E-14;3,000015497;-1,54972E-05
;3,999998808;1,19209E-06;4;1,554E-14;4,000016689;-1,66893E-05
;4,999999046;9,53674E-07;5;1,155E-14;5,000015259;-1,52588E-05
;5,999998569;1,43051E-06;6;1,688E-14;6,000017166;-1,71661E-05
;6,999999046;9,53674E-07;7;1,776E-14;7,000017166;-1,71661E-05
;7,999999046;9,53674E-07;8;1,599E-14;8,00001812;-1,81198E-05
;9;0;9;1,599E-14;9,00001812;-1,81198E-05
;10;0;10;1,599E-14;10,00001812;-1,81198E-05
k;xk (одинарная точность);x* - xk (одинарная точность);xk (двойная точность);x* - xk (двойная точность);xk (скаляр. произв.); x* - xk (скаляр. произв.)
6;0,99999547;4,52995E-06;1;-6,66E-15;0,999989986;1,00136E-05
;1,999994278;5,72205E-06;2;-9,33E-15;1,999987245;1,27554E-05
;2,999994278;5,72205E-06;3;-8,88E-15;2,999987602;1,23978E-05
;3,99999404;5,96046E-06;4;-9,77E-15;3,999986649;1,33514E-05
;4,999994278;5,72205E-06;5;-7,99E-15;4,999988079;1,19209E-05
;5,999994278;5,72205E-06;6;-1,066E-14;5,999986649;1,33514E-05
;6,999993324;6,67572E-06;7;-1,155E-14;6,999985695;1,43051E-05
;7,999994278;5,72205E-06;8;-1,243E-14;7,999986649;1,33514E-05
;8,999993324;6,67572E-06;9;-1,243E-14;8,999986649;1,33514E-05
;9,999993324;6,67572E-06;10;-1,421E-14;9,999986649;1,33514E-05
