x*;x_llt;x_gaussian;x* - x_llt;x* - x_gaussian
1;0,99999999999997900;1,00000000000000000;2,010E-14;-1,110E-15
2;1,99999999999997000;2,00000000000000000;2,465E-14;0,000E+00
3;2,99999999999997000;3,00000000000000000;2,531E-14;-8,900E-16
4;3,99999999999997000;4,00000000000000000;2,665E-14;-8,900E-16
5;4,99999999999997000;5,00000000000000000;2,398E-14;-1,780E-15
6;5,99999999999997000;6,00000000000000000;2,753E-14;-5,330E-15
7;6,99999999999997000;7,00000000000000000;2,487E-14;-2,660E-15
8;7,99999999999997000;8,00000000000000000;2,753E-14;-3,550E-15
9;8,99999999999997000;9,00000000000000000;2,665E-14;-3,550E-15
10;9,99999999999997000;10,00000000000000000;2,842E-14;-3,550E-15
