w;x;x*-x;iterations;
0,01;0,833199;0,166801;10 000;
;1,79691;0,203094;;
;2,7825;0,2175;;
;3,77379;0,226206;;
;4,77903;0,220968;;
;5,79789;0,202114;;
;6,80009;0,199913;;
;7,79695;0,203055;;
w;x;x*-x;iterations;
0,02;0,992686;0,00731391;10 000;
;1,9911;0,00890497;;
;2,99046;0,00953632;;
;3,99008;0,00991768;;
;4,99031;0,00968765;;
;5,99114;0,00886081;;
;6,99124;0,00876415;;
;7,9911;0,0089015;;
w;x;x*-x;iterations;
0,03;0,999138;0,000861871;8 913;
;1,99895;0,00104932;;
;2,99888;0,00112368;;
;3,99883;0,00116858;;
;4,99886;0,00114143;;
;5,99896;0,00104398;;
;6,99897;0,00103257;;
;7,99895;0,00104871;;
w;x;x*-x;iterations;
0,04;0,999139;0,000861052;6 653;
;1,99895;0,00104829;;
;2,99888;0,00112254;;
;3,99883;0,00116734;;
;4,99886;0,00114018;;
;5,99896;0,00104281;;
;6,99897;0,00103139;;
;7,99895;0,00104746;;
w;x;x*-x;iterations;
0,05;0,999138;0,00086158;5 296;
;1,99895;0,00104889;;
;2,99888;0,00112315;;
;3,99883;0,00116793;;
;4,99886;0,00114071;;
;5,99896;0,00104327;;
;6,99897;0,00103182;;
;7,99895;0,00104785;;
w;x;x*-x;iterations;
0,06;0,999139;0,000861014;4 392;
;1,99895;0,00104816;;
;2,99888;0,00112233;;
;3,99883;0,00116703;;
;4,99886;0,00113979;;
;5,99896;0,0010424;;
;6,99897;0,00103094;;
;7,99895;0,00104691;;
w;x;x*-x;iterations;
0,07;0,999139;0,000860985;3 746;
;1,99895;0,00104809;;
;2,99888;0,00112221;;
;3,99883;0,00116687;;
;4,99886;0,00113958;;
;5,99896;0,00104218;;
;6,99897;0,0010307;;
;7,99895;0,00104662;;
w;x;x*-x;iterations;
0,08;0,99914;0,000859845;3 262;
;1,99895;0,00104666;;
;2,99888;0,00112065;;
;3,99883;0,00116519;;
;4,99886;0,00113789;;
;5,99896;0,00104061;;
;6,99897;0,00102913;;
;7,99896;0,00104497;;
w;x;x*-x;iterations;
0,09;0,99914;0,000860075;2 885;
;1,99895;0,0010469;;
;2,99888;0,00112086;;
;3,99883;0,00116537;;
;4,99886;0,00113802;;
;5,99896;0,00104071;;
;6,99897;0,0010292;;
;7,99896;0,00104499;;
w;x;x*-x;iterations;
0,1;0,999141;0,000858629;2 584;
;1,99895;0,00104509;;
;2,99888;0,0011189;;
;3,99884;0,00116328;;
;4,99886;0,00113593;;
;5,99896;0,00103876;;
;6,99897;0,00102726;;
;7,99896;0,00104297;;
w;x;x*-x;iterations;
0,11;0,999141;0,000859402;2 337;
;1,99895;0,00104599;;
;2,99888;0,00111982;;
;3,99884;0,0011642;;
;4,99886;0,00113678;;
;5,99896;0,00103951;;
;6,99897;0,00102797;;
;7,99896;0,00104364;;
w;x;x*-x;iterations;
0,12;0,999139;0,000860742;2 131;
;1,99895;0,00104758;;
;2,99888;0,00112148;;
;3,99883;0,00116588;;
;4,99886;0,00113837;;
;5,99896;0,00104094;;
;6,99897;0,00102935;;
;7,99895;0,001045;;
