w;x;x*-x;iterations;cond;
0,1;-1,21425e+109;1,21425e+109;100 000;2,3146e-107;
;-8,66056e+108;8,66056e+108;;
;-8,53997e+108;8,53997e+108;;
;-7,62605e+108;7,62605e+108;;
;-7,55569e+108;7,55569e+108;;
;-7,68265e+108;7,68265e+108;;
;-8,11405e+108;8,11405e+108;;
;-8,72505e+108;8,72505e+108;;
;-9,941e+108;9,941e+108;;
;-7,753e+108;7,753e+108;;
;-7,87821e+108;7,87821e+108;;
;-7,51294e+108;7,51294e+108;;
w;x;x*-x;iterations;cond;
0,2;-9,70214e+227;9,70214e+227;100 000;-na n(i nd);
;-6,92065e+227;6,92065e+227;;
;-6,83043e+227;6,83043e+227;;
;-6,09932e+227;6,09932e+227;;
;-6,04372e+227;6,04372e+227;;
;-6,145e+227;6,145e+227;;
;-6,49571e+227;6,49571e+227;;
;-6,99139e+227;6,99139e+227;;
;-7,95655e+227;7,95655e+227;;
;-6,20615e+227;6,20615e+227;;
;-6,31173e+227;6,31173e+227;;
;-6,02097e+227;6,02097e+227;;
w;x;x*-x;iterations;cond;
0,3;-2,65036e+307;2,65036e+307;85 402;-na n(i nd);
;-1,89074e+307;1,89074e+307;;
;-1,86795e+307;1,86795e+307;;
;-1,66797e+307;1,66797e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,4;-2,67204e+307;2,67204e+307;60 590;-na n(i nd);
;-1,90643e+307;1,90643e+307;;
;-1,88554e+307;1,88554e+307;;
;-1,68363e+307;1,68363e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,5;-2,69338e+307;2,69338e+307;45 708;-na n(i nd);
;-1,92191e+307;1,92191e+307;;
;-1,90322e+307;1,90322e+307;;
;-1,69935e+307;1,69935e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,6;-2,66961e+307;2,66961e+307;35 791;-na n(i nd);
;-1,90522e+307;1,90522e+307;;
;-1,88935e+307;1,88935e+307;;
;-1,6869e+307;1,6869e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,7;-2,71962e+307;2,71962e+307;28 714;-na n(i nd);
;-1,94124e+307;1,94124e+307;;
;-1,92814e+307;1,92814e+307;;
;-1,72145e+307;1,72145e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,8;-2,69529e+307;2,69529e+307;23 411;-na n(i nd);
;-1,92424e+307;1,92424e+307;;
;-1,91474e+307;1,91474e+307;;
;-1,70938e+307;1,70938e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
0,9;-2,69218e+307;2,69218e+307;19 293;-na n(i nd);
;-1,92243e+307;1,92243e+307;;
;-1,91698e+307;1,91698e+307;;
;-1,71126e+307;1,71126e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1;-2,72617e+307;2,72617e+307;16 006;-na n(i nd);
;-1,94718e+307;1,94718e+307;;
;-1,94646e+307;1,94646e+307;;
;-1,73741e+307;1,73741e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,1;-2,79601e+307;2,79601e+307;13 325;-na n(i nd);
;-1,99764e+307;1,99764e+307;;
;-2,00272e+307;2,00272e+307;;
;-1,78741e+307;1,78741e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,2;-2,79463e+307;2,79463e+307;11 100;-na n(i nd);
;-1,99733e+307;1,99733e+307;;
;-2,00939e+307;2,00939e+307;;
;-1,79309e+307;1,79309e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,3;-2,79083e+307;2,79083e+307;9 229;-na n(i nd);
;-1,99541e+307;1,99541e+307;;
;-2,01596e+307;2,01596e+307;;
;-1,79858e+307;1,79858e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,4;-2,82754e+307;2,82754e+307;7 640;-na n(i nd);
;-2,02263e+307;2,02263e+307;;
;-2,05413e+307;2,05413e+307;;
;-1,83213e+307;1,83213e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,5;-2,73894e+307;2,73894e+307;6 281;-na n(i nd);
;-1,9604e+307;1,9604e+307;;
;-2,004e+307;2,004e+307;;
;-1,78672e+307;1,78672e+307;;
;-1,77968e+307;1,77968e+307;;
;-1,80599e+307;1,80599e+307;;
;-1,97557e+307;1,97557e+307;;
;-2,2063e+307;2,2063e+307;;
;-2,4008e+307;2,4008e+307;;
;-1,87993e+307;1,87993e+307;;
;-1,9764e+307;1,9764e+307;;
;-inf;inf;;
w;x;x*-x;iterations;cond;
1,6;-2,96897e+307;2,96897e+307;5 117;-na n(i nd);
;-2,12655e+307;2,12655e+307;;
;-2,19213e+307;2,19213e+307;;
;-1,95334e+307;1,95334e+307;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,7;1,87213e+307;-1,87213e+307;2 769;-na n(i nd);
;-7,36265e+306;7,36265e+306;;
;-1,42002e+307;1,42002e+307;;
;1,73439e+306;-1,73439e+306;;
;8,09079e+306;-8,09079e+306;;
;4,87477e+306;-4,87477e+306;;
;-2,72924e+306;2,72924e+306;;
;5,77319e+306;-5,77319e+306;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,8;-2,37484e+307;2,37484e+307;1 731;-na n(i nd);
;9,33157e+306;-9,33157e+306;;
;1,77119e+307;-1,77119e+307;;
;-2,96094e+306;2,96094e+306;;
;-1,47716e+307;1,47716e+307;;
;-1,01981e+306;1,01981e+306;;
;4,62444e+306;-4,62444e+306;;
;-4,03773e+306;4,03773e+306;;
;-inf;inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
1,9;2,83555e+307;-2,83555e+307;1 330;-na n(i nd);
;-1,14938e+307;1,14938e+307;;
;-2,13617e+307;2,13617e+307;;
;4,12915e+306;-4,12915e+306;;
;inf;-inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
w;x;x*-x;iterations;cond;
2;-3,01506e+307;3,01506e+307;1 107;-na n(i nd);
;1,26178e+307;-1,26178e+307;;
;2,30316e+307;-2,30316e+307;;
;-4,889e+306;4,889e+306;;
;-inf;inf;;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
;-na n(i nd);-na n(i nd);;
